error_description,solution
"Wi-Fi keeps disconnecting on Windows 11 laptop","1. Open Settings > Network & Internet > Wi-Fi. 2. Click 'Manage known networks', forget the network, then reconnect. 3. Update the Wi-Fi driver via Device Manager > Network adapters. 4. Disable 'Power saving mode' for the Wi-Fi adapter in adapter properties > Power Management. 5. If issue persists, reset network stack: run 'netsh winsock reset' and 'netsh int ip reset' in an elevated Command Prompt, then restart."
"VPN client fails to connect with error 'Connection timed out'","1. Verify internet connectivity is working without VPN. 2. Check if the VPN server address is correct in client settings. 3. Confirm firewall/antivirus isn't blocking the VPN port (usually UDP 500/4500 for IPSec). 4. Restart the VPN client service (services.msc > find VPN service > restart). 5. Try switching VPN protocol (e.g., from IKEv2 to SSL) in client settings. 6. If on corporate network, confirm VPN traffic isn't blocked by local network firewall."
"Outlook not syncing new emails","1. Check internet connection. 2. Go to Send/Receive tab > Update Folder to force sync. 3. Verify account isn't in 'Work Offline' mode (File tab). 4. Check mailbox storage isn't full. 5. Repair the Outlook profile: Control Panel > Mail > Show Profiles > Repair. 6. Recreate the Outlook profile if repair fails."
"Blue screen error CRITICAL_PROCESS_DIED on Windows","1. Restart the PC and check if error recurs. 2. Boot into Safe Mode (Settings > Recovery > Advanced Startup). 3. Run 'sfc /scannow' in Command Prompt to repair system files. 4. Update all device drivers, especially graphics and chipset drivers. 5. Run Windows Memory Diagnostic to rule out RAM issues. 6. If recent update caused it, roll back the Windows update from Settings > Windows Update > Update History > Uninstall updates."
"Printer shows offline status even though it's powered on","1. Check printer is connected to the same network as the computer. 2. Go to Settings > Devices > Printers & Scanners, remove and re-add the printer. 3. Set printer as default and disable 'Use Printer Offline' mode if enabled. 4. Restart the Print Spooler service (services.msc > Print Spooler > Restart). 5. Update or reinstall printer drivers from manufacturer's website."
"Error 'DNS_PROBE_FINISHED_NXDOMAIN' in Chrome browser","1. Try accessing the site in a different browser to confirm it's not site-specific. 2. Flush DNS cache: run 'ipconfig /flushdns' in Command Prompt. 3. Change DNS servers to Google DNS (8.8.8.8, 8.8.4.4) in network adapter settings. 4. Restart the router/modem. 5. Disable any VPN or proxy temporarily to test. 6. Clear browser cache and cookies."
"Application freezes or becomes unresponsive on launch","1. Check Task Manager for high CPU/memory usage and end the frozen process. 2. Update the application to the latest version. 3. Run the application as Administrator. 4. Check for conflicting background processes or antivirus interference. 5. Reinstall the application if the issue persists. 6. Check Windows Event Viewer for related error logs."
"Cannot access shared network drive, error 'Network path not found'","1. Confirm you're connected to the correct network/VPN. 2. Ping the file server by IP to check connectivity. 3. Verify the share path is correct (\\\\server\\sharename). 4. Check if SMB 1.0 is required (Control Panel > Programs > Turn Windows features on/off > enable SMB 1.0 if needed for legacy servers). 5. Restart the Workstation and Server services. 6. Confirm your account has permissions to access the share."
"Slow computer performance after Windows update","1. Check Task Manager for processes consuming high CPU/disk after update. 2. Run Disk Cleanup to remove temporary update files. 3. Disable unnecessary startup programs (Task Manager > Startup tab). 4. Run 'sfc /scannow' and 'DISM /Online /Cleanup-Image /RestoreHealth' to repair system files. 5. Check for a follow-up update that fixes known performance regressions. 6. As a last resort, roll back the update."
"Two-factor authentication (2FA) code not being received","1. Check phone signal/internet connectivity for the authenticator app. 2. Verify device time is set to automatic (incorrect time breaks TOTP codes). 3. If using SMS, confirm phone number on file is correct. 4. Try backup/recovery codes if available. 5. Contact IT admin to reset 2FA enrollment if device was lost or changed."
"Forgot Windows or domain account password","1. Go to the login screen and click 'Forgot password' or 'I forgot my password' if available. 2. Follow the self-service password reset (SSPR) flow using your registered email or phone. 3. If SSPR isn't set up, contact IT support to verify your identity and reset the password manually. 4. Once reset, log in and update saved credentials in browsers, email clients, and any mapped drives that use the old password. 5. Consider enrolling in SSPR now to avoid delays next time."
"Laptop battery draining very fast","1. Check Battery usage per app: Settings > System > Power & Battery > Battery Usage, and close apps consuming excessive power. 2. Lower screen brightness and shorten the screen-off timeout. 3. Turn on Battery Saver mode (Settings > Power & Battery > Battery Saver). 4. Disable background apps you don't need: Settings > Apps > Installed apps > (app) > Advanced options > Background apps permissions. 5. Check battery health via 'powercfg /batteryreport' in Command Prompt; if 'Full Charge Capacity' is far below 'Design Capacity', the battery may need physical replacement."
"Monitor not detected / no display output when connecting external monitor","1. Check the cable is firmly connected at both ends and try a different cable/port if available. 2. Press Windows key + P to open the Project menu and select 'Extend' or 'Duplicate'. 3. Right-click the desktop > Display settings > click 'Detect' under Multiple displays. 4. Update the graphics driver via Device Manager > Display adapters > Update driver. 5. Test the monitor on another device to rule out a hardware fault with the monitor itself."
"Microsoft Teams audio or camera not working during calls","1. Check Teams has permission to use the microphone/camera: Settings > Privacy & Security > Camera / Microphone, ensure Teams is allowed. 2. In Teams, go to Settings > Devices and confirm the correct microphone/speaker/camera is selected. 3. Close other apps that might be using the camera or mic (e.g., Zoom, Skype) since only one app can access them at a time. 4. Restart Teams completely (right-click the Teams icon in the system tray > Quit, then reopen). 5. Update audio/video drivers via Device Manager if the issue persists across all apps."
"Software installation blocked with 'You need admin permission' error","1. Right-click the installer and choose 'Run as administrator'. 2. If you don't have admin rights on the machine, submit a software installation request to IT with the software name, version, and business justification. 3. For company-managed devices, check if the software is available via the Company Portal or Software Center instead of a direct download. 4. If installation is urgent, ask IT to temporarily elevate your permissions or remote in to install it for you."
"Computer running very slow / high CPU or disk usage","1. Open Task Manager (Ctrl+Shift+Esc) and sort by CPU and Disk usage to identify the resource-heavy process. 2. End unnecessary processes, especially browser tabs and background updater apps. 3. Check for pending Windows updates and install them (updates sometimes cause temporary indexing/scanning spikes). 4. Run a malware scan using Windows Security > Virus & threat protection > Quick scan. 5. Disable unnecessary startup apps: Task Manager > Startup apps tab, disable anything non-essential. 6. If disk usage is constantly at 100%, check available free disk space (should be above 15%) and run 'chkdsk' to check for drive errors."
"File sync stuck or not updating in OneDrive/SharePoint","1. Click the OneDrive cloud icon in the system tray and check the sync status for error messages. 2. Pause and resume syncing: right-click the OneDrive icon > Pause syncing > wait 10 seconds > Resume syncing. 3. Check available storage isn't full (Settings > Account in the OneDrive app). 4. Sign out and back into OneDrive: Settings > Account > Unlink this PC, then sign back in. 5. For persistently stuck files, try renaming the file slightly or moving it out and back into the synced folder to force a re-sync."
"Email showing 'Mailbox full' or unable to send/receive","1. Check current mailbox size: Outlook > File > Info > Mailbox Settings, compare against your organization's quota. 2. Delete large emails/attachments or move them to a local PST/archive folder. 3. Empty the Deleted Items and Junk Email folders, as these still count toward quota. 4. If archiving isn't enough, request a mailbox quota increase from IT. 5. Once under quota, allow a few minutes for the mail server to recognize the change before retrying send/receive."
"Screen flickering or resolution issues after a Windows update","1. Right-click the desktop > Display settings and confirm resolution matches the monitor's recommended/native resolution. 2. Update or roll back the graphics driver: Device Manager > Display adapters > right-click > Update driver, or 'Roll Back Driver' if the flickering started right after an update. 3. Disable hardware acceleration in apps that flicker most (e.g., browser: Settings > System > turn off 'Use hardware acceleration'). 4. Check the refresh rate: Settings > Display > Advanced display, ensure it matches the monitor's supported rate. 5. If flickering is isolated to one app, that app likely needs updating rather than the OS."
"Keyboard or mouse not responding (wired or wireless)","1. For wireless devices, check batteries and confirm the USB receiver is plugged directly into the computer (not a hub). 2. Try a different USB port to rule out a faulty port. 3. Unplug and replug the device, or turn wireless devices off and back on. 4. Check Device Manager for a yellow warning icon under 'Keyboards' or 'Mice and other pointing devices' — right-click and select 'Update driver' or 'Uninstall device' then reconnect to reinstall. 5. Test the peripheral on another computer to confirm whether the device itself is faulty."
"Locked out of account after too many failed login attempts","1. Wait the standard lockout period (commonly 15-30 minutes) before trying again, if a lockout timer applies. 2. Use the self-service unlock/password reset tool if your organization provides one. 3. Contact IT support with your employee ID or username to verify identity and request a manual unlock. 4. Once unlocked, update any saved/cached credentials on your devices to avoid triggering another lockout. 5. If lockouts happen repeatedly, check for an old device or app using cached outdated credentials (e.g., an old phone still trying to sync email)."

